Field_ID;observer;Sample_ID;Specimen;horizon;identification;gsmf_taxa;moisture;latitude;longitude;date;vegetation;comment
B14;Liisa;C;3;monolith;Earthworm;earthworm;53,3;60.804366;23.44606;04/06/2025;crop;
B14;Liisa;C;4;monolith;Beetle;coleoptera;53,3;60.804366;23.44606;04/06/2025;crop;
B14;Liisa;C;5;monolith;Beetle;coleoptera;53,3;60.804366;23.44606;04/06/2025;crop;
B14;Liisa;C;6;monolith;Earthworm;earthworm;53,3;60.804366;23.44606;04/06/2025;crop;
B14;Liisa;C;7;monolith;Earthworm;earthworm;53,3;60.804366;23.44606;04/06/2025;crop;
B14;Liisa;C;8;monolith;Earthworm;earthworm;53,3;60.804366;23.44606;04/06/2025;crop;
B14;Liisa;C;9;monolith;Earthworm;earthworm;53,3;60.804366;23.44606;04/06/2025;crop;
B14;Liisa;C;10;monolith;Earthworm;earthworm;53,3;60.804366;23.44606;04/06/2025;crop;
B14;Liisa;C;11;monolith;Earthworm;earthworm;53,3;60.804366;23.44606;04/06/2025;crop;
B14;Liisa;C;12;monolith;Beetle;coleoptera;53,3;60.804366;23.44606;04/06/2025;crop;
B14;Ida;B;1;surface;Beetle/Chrysomelidae/Phyllotreta;coleoptera;29,45;60.804515;23.445936;04/06/2025;crop;
B14;Ida;B;2;surface;Beetle;coleoptera;29,45;60.804515;23.445936;04/06/2025;crop;
B14;Ida;B;3;surface;Beetle;coleoptera;29,45;60.804515;23.445936;04/06/2025;crop;
B14;Ida;B;5;monolith;Earthworm;earthworm;29,45;60.804515;23.445936;04/06/2025;crop;
B14;Ida;B;6;monolith;Earthworm;earthworm;29,45;60.804515;23.445936;04/06/2025;crop;
B14;Ida;B;7;monolith;Enchytraeidae;earthworm;29,45;60.804515;23.445936;04/06/2025;crop;
B14;Ida;B;8;monolith;Fly larva;diptera_larvae;29,45;60.804515;23.445936;04/06/2025;crop;
B14;Riikka;A;4;monolith;Earthworm;earthworm;27,9;60.804629;23.445908;04/06/2025;crop;
B14;Riikka;A;5;monolith;Earthworm;earthworm;27,9;60.804629;23.445908;04/06/2025;crop;
B14;Riikka;A;6;monolith;Earthworm;earthworm;27,9;60.804629;23.445908;04/06/2025;crop;
B19;Liisa;C;4;monolith;Beetle/Carabidae;coleoptera;NA;60.799294;23.459243;06/06/2025;crop;
B19;Ida;B;1;surface;Beetle/Bembidion;coleoptera;NA;60.799415;23.458982;06/06/2025;crop;
B19;Ida;B;2;monolith;Earthworm;earthworm;NA;60.799415;23.458982;06/06/2025;crop;
B19;Ida;B;3;monolith;Beetle/Carabidae;coleoptera;NA;60.799415;23.458982;06/06/2025;crop;
B19;Ida;B;4;monolith;Beetle/Chrysomelidae/Phyllotreta;coleoptera;NA;60.799415;23.458982;06/06/2025;crop;
B19;Ida;B;5;monolith;Beetle/Carabidae;coleoptera;NA;60.799415;23.458982;06/06/2025;crop;
B19;Riikka;A;1;monolith;Earthworm;earthworm;NA;NA;NA;06/06/2025;crop;
B19;Riikka;A;2;monolith;Earthworm;earthworm;NA;NA;NA;06/06/2025;crop;
B19;Riikka;A;3;monolith;Earthworm;earthworm;NA;NA;NA;06/06/2025;crop;
B20;Liisa;C;1;surface;True bug;hemiptera;36,65;60.699702;23.446191;06/06/2025;crop;
B20;Liisa;C;6;monolith;Beetle/Staphylinidae;coleoptera;36,65;60.699702;23.446191;06/06/2025;crop;
B20;Liisa;C;7;monolith;Earthworm;earthworm;36,65;60.699702;23.446191;06/06/2025;crop;
B20;Liisa;C;8;monolith;Earthworm;earthworm;36,65;60.699702;23.446191;06/06/2025;crop;
B20;Liisa;C;9;monolith;Earthworm;earthworm;36,65;60.699702;23.446191;06/06/2025;crop;
B20;Liisa;C;10;monolith;Earthworm;earthworm;36,65;60.699702;23.446191;06/06/2025;crop;
B20;Ida;B;1;surface;Prostigmata;acari;38,45;60.799702;23.446191;06/06/2025;crop;
B20;Ida;B;2;surface;Beetle;coleoptera;38,45;60.799702;23.446191;06/06/2025;crop;
B20;Ida;B;3;monolith;Earthworm;earthworm;38,45;60.799702;23.446191;06/06/2025;crop;
B20;Ida;B;4;monolith;Earthworm;earthworm;38,45;60.799702;23.446191;06/06/2025;crop;
B20;Ida;B;5;monolith;Beetle/Carabidae;coleoptera;38,45;60.799702;23.446191;06/06/2025;crop;
B20;Ida;B;6;monolith;Earthworm;earthworm;38,45;60.799702;23.446191;06/06/2025;crop;
B20;Ida;B;7;monolith;Earthworm;earthworm;38,45;60.799702;23.446191;06/06/2025;crop;
B20;Ida;B;8;monolith;Earthworm;earthworm;38,45;60.799702;23.446191;06/06/2025;crop;
B20;Ida;B;9;monolith;Earthworm;earthworm;38,45;60.799702;23.446191;06/06/2025;crop;
B20;Ida;B;10;monolith;Collembola;collembola;38,45;60.799702;23.446191;06/06/2025;crop;
B20;Ida;B;11;monolith;Beetle/Staphylinidae;coleoptera;38,45;60.799702;23.446191;06/06/2025;crop;
B20;Ida;B;13;monolith;Earthworm egg;earthworm;38,45;60.799702;23.446191;06/06/2025;crop;
B20;Ida;B;14;monolith;Beetle/Carabidae;coleoptera;38,45;60.799702;23.446191;06/06/2025;crop;
B20;Ida;B;15;monolith;Mesostigmata;acari;38,45;60.799702;23.446191;06/06/2025;crop;
B20;Ida;B;16;monolith;Earthworm;earthworm;38,45;60.799702;23.446191;06/06/2025;crop;
B20;Ida;B;17;monolith;Earthworm;earthworm;38,45;60.799702;23.446191;06/06/2025;crop;
B20;Ida;B;20;monolith;Enchytraeidae;earthworm;38,45;60.799702;23.446191;06/06/2025;crop;
B20;Riikka;A;1;monolith;Earthworm;earthworm;35,5;60.799818;23.446184;06/06/2025;crop;
B20;Riikka;A;2;monolith;Insect larva;unidentified_larvae;35,5;60.799818;23.446184;06/06/2025;crop;
B20;Riikka;A;3;monolith;Earthworm;earthworm;35,5;60.799818;23.446184;06/06/2025;crop;
B20;Riikka;A;4;monolith;Earthworm;earthworm;35,5;60.799818;23.446184;06/06/2025;crop;
B20;Riikka;A;5;monolith;Earthworm;earthworm;35,5;60.799818;23.446184;06/06/2025;crop;
B20;Riikka;A;6;monolith;Earthworm;earthworm;35,5;60.799818;23.446184;06/06/2025;crop;
B20;Riikka;A;7;monolith;Earthworm;earthworm;35,5;60.799818;23.446184;06/06/2025;crop;
B20;Riikka;A;8;monolith;Earthworm;earthworm;35,5;60.799818;23.446184;06/06/2025;crop;
B20;Riikka;A;9;monolith;Earthworm;earthworm;35,5;60.799818;23.446184;06/06/2025;crop;
B20;Riikka;A;10;monolith;Earthworm;earthworm;35,5;60.799818;23.446184;06/06/2025;crop;
B20;Riikka;A;11;monolith;Earthworm;earthworm;35,5;60.799818;23.446184;06/06/2025;crop;
B20;Riikka;A;12;monolith;Earthworm;earthworm;35,5;60.799818;23.446184;06/06/2025;crop;
B20;Riikka;A;13;monolith;Earthworm;earthworm;35,5;60.799818;23.446184;06/06/2025;crop;
B22;Liisa;C;1;surface;True bug nymph;hemiptera;34,9;NA;NA;06/06/2025;crop;
B22;Liisa;C;2;surface;Spider;araneae;34,9;NA;NA;06/06/2025;crop;
B22;Liisa;C;3;monolith;Earthworm;earthworm;34,9;NA;NA;06/06/2025;crop;
B22;Liisa;C;4;monolith;Beetle/Carabidae;coleoptera;34,9;NA;NA;06/06/2025;crop;
B22;Liisa;C;5;monolith;Insect larva;unidentified_larvae;34,9;NA;NA;06/06/2025;crop;
B22;Liisa;C;6;monolith;Beetle;coleoptera;34,9;NA;NA;06/06/2025;crop;
B22;Liisa;C;7;monolith;Earthworm;earthworm;34,9;NA;NA;06/06/2025;crop;
B22;Liisa;C;8;monolith;Insect cocoon;unidentified_pupae;34,9;NA;NA;06/06/2025;crop;
B22;Liisa;C;9;monolith;Snail;gastropoda;34,9;NA;NA;06/06/2025;crop;
B22;Liisa;C;10;monolith;Insect larva;unidentified_larvae;34,9;NA;NA;06/06/2025;crop;
B22;Liisa;C;11;monolith;Wood lice;isopoda;34,9;NA;NA;06/06/2025;crop;
B22;Liisa;C;12;monolith;Earthworm;earthworm;34,9;NA;NA;06/06/2025;crop;
B22;Liisa;C;13;monolith;Beetle;coleoptera;34,9;NA;NA;06/06/2025;crop;
B22;Liisa;C;14;monolith;Insect larva;unidentified_larvae;34,9;NA;NA;06/06/2025;crop;
B22;Liisa;C;15;monolith;Beetle/Staphylinidae;coleoptera;34,9;NA;NA;06/06/2025;crop;
B22;Liisa;C;16;monolith;Beetle/Staphylinidae;coleoptera;34,9;NA;NA;06/06/2025;crop;
B22;Ida;B;1;surface;True bug;hemiptera;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;2;surface;Insect larva;unidentified_larvae;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;3;surface;Earthworm;earthworm;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;4;surface;Beetle/Carabidae;coleoptera;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;5;surface;Snail;gastropoda;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;6;surface;Spider;araneae;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;7;monolith;Earthworm, egg;earthworm;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;8;monolith;Beetle/Staphylinidae;coleoptera;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;9;monolith;Beetle;coleoptera;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;10;monolith;Enchytraiedae;earthworm;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;12;monolith;Beetle/Carabidae;coleoptera;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;14;monolith;Beetle/Carabidae;coleoptera;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;15;monolith;Earthworm;earthworm;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;16;monolith;Earthworm;earthworm;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;17;monolith;Earthworm;earthworm;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;18;monolith;Earthworm;earthworm;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;19;monolith;Earthworm;earthworm;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;20;monolith;Earthworm;earthworm;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;21;monolith;Earthworm;earthworm;35,55;NA;NA;06/06/2025;crop;
B22;Ida;B;22;monolith;Earthworm;earthworm;35,55;NA;NA;06/06/2025;crop;
B22;Riikka;A;1;monolith;Spider;araneae;32,95;60.79820;23.437547;06/06/2025;crop;
B22;Riikka;A;2;monolith;Earthworm;earthworm;32,95;60.79820;23.437547;06/06/2025;crop;
B22;Riikka;A;3;monolith;Earthworm;earthworm;32,95;60.79820;23.437547;06/06/2025;crop;
B22;Riikka;A;4;monolith;Earthworm;earthworm;32,95;60.79820;23.437547;06/06/2025;crop;
